grain,series_id,item_code,label,sb_class,total_qty_hist,model,model_params,rmsse,mase,smape,n_trials,n_backtest_folds,acc_change_vs_prev,forecast_total_4w,p_occurrence_week,routine_weekly,routine_total_4w,bulk_share,w1_2026-06-15,w2_2026-06-22,w3_2026-06-29,w4_2026-07-06,customer,channel
sku_channel,sku_channel::1006352|TAIUN,1006352,교체형,lumpy,9878619.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.0006007676391190114,0.0032480118451975234,2.0,10,6,,312.9083044591915,2.1268559317898332e-05,0.0,0.0,1.0,78.22707611479788,78.22707611479788,78.22707611479788,78.22707611479788,,TAIUN
sku_channel,sku_channel::1009493|TAIUN,1009493,교체형,intermittent,9095400.0,sba,{'alpha': 0.05},0.05447429542367557,0.2516699262443477,2.0,10,6,,122490.36238998474,0.011308986969219765,0.0,0.0,1.0,30622.590597496186,30622.590597496186,30622.590597496186,30622.590597496186,,TAIUN
sku_channel,sku_channel::1008759|TAIUN,1008759,교체형,lumpy,6558480.0,sba,{'alpha': 0.05},0.12822982175253608,0.5496562240202864,1.5706009643897267,10,6,,97751.32518326156,0.08865624892691568,0.0,0.0,1.0,24437.83129581539,24437.83129581539,24437.83129581539,24437.83129581539,,TAIUN
sku_channel,sku_channel::2018626|TAIUN,2018626,교체형,intermittent,5131138.0,tsb,"{'alpha': 0.2, 'beta': 0.05}",0.38722002347393825,1.2419281084608886,0.6670565727526165,10,6,,417895.86708927184,0.26872966282194033,0.0,0.0,1.0,104473.96677231796,104473.96677231796,104473.96677231796,104473.96677231796,,TAIUN
sku_channel,sku_channel::1007126|TAIUN,1007126,교체형,lumpy,4161685.0,sba,{'alpha': 0.05},0.05262538121133176,0.20959275229169586,1.987769137048696,10,6,,36245.64552408428,0.045718101998500245,0.0,0.0,1.0,9061.41138102107,9061.41138102107,9061.41138102107,9061.41138102107,,TAIUN
sku_channel,sku_channel::1009303|TAIUN,1009303,교체형,lumpy,3081654.0,tsb,"{'alpha': 0.2, 'beta': 0.05}",3.1279325197072767,11.483593762233197,1.4957383858325042,10,6,,339398.11215422075,0.22641720911504415,0.0,0.0,1.0,84849.52803855519,84849.52803855519,84849.52803855519,84849.52803855519,,TAIUN
sku_channel,sku_channel::1009131|TAIUN_AIR,1009131,교체형,intermittent,2978301.0,tsb,"{'alpha': 0.2, 'beta': 0.05}",1.8878384147138594,4.054597403239544,1.347256793076502,10,6,,216570.74053143064,0.23737619942024177,0.0,0.0,1.0,54142.68513285766,54142.68513285766,54142.68513285766,54142.68513285766,,TAIUN_AIR
sku_channel,sku_channel::1007754|CUSTOMER_PICK_UP,1007754,교체형,intermittent,2502394.0,sba,{'alpha': 0.3},0.06208019333433279,0.40341685500078334,2.0,10,6,,54020.49056603773,0.011098779134295229,0.0,0.0,1.0,13505.122641509433,13505.122641509433,13505.122641509433,13505.122641509433,,CUSTOMER_PICK_UP
sku_channel,sku_channel::1007754|TAIUN_AIR,1007754,교체형,lumpy,2254759.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.02297022588785237,0.130924089046024,2.0,10,6,,3462.7957059970913,0.0036029600539100514,0.0,0.0,1.0,865.6989264992728,865.6989264992728,865.6989264992728,865.6989264992728,,TAIUN_AIR
sku_channel,sku_channel::2015843|TAIUN,2015843,교체형,lumpy,2225973.0,tsb,"{'alpha': 0.2, 'beta': 0.05}",0.04612739048708046,0.13711143460089278,0.07919510489406603,10,6,,150125.66628871084,0.21057585866181483,0.0,0.0,1.0,37531.41657217771,37531.41657217771,37531.41657217771,37531.41657217771,,TAIUN
sku_channel,sku_channel::2018035|TAIUN,2018035,교체형,lumpy,1767685.0,tsb,"{'alpha': 0.2, 'beta': 0.05}",0.19905395997284553,0.5730944451365246,0.5331972250519453,10,6,,124973.67842142309,0.1833209525332162,0.0,0.0,1.0,31243.41960535577,31243.41960535577,31243.41960535577,31243.41960535577,,TAIUN
sku_channel,sku_channel::1009440|TAIUN_AIR,1009440,교체형,lumpy,1293099.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",3.1416068236966934,9.773706073639637,1.4087164374293397,10,6,,208899.61914687516,0.6534781118544005,0.0,0.0,1.0,52224.90478671879,52224.90478671879,52224.90478671879,52224.90478671879,,TAIUN_AIR
sku_channel,sku_channel::1008056|TAIUN,1008056,교체형,lumpy,1077276.0,sba,{'alpha': 0.3},0.04145232730814599,0.23698861895911802,0.9148738617918554,10,6,,17868.44863675025,0.03677744412871826,0.0,0.0,1.0,4467.112159187563,4467.112159187563,4467.112159187563,4467.112159187563,,TAIUN
sku_channel,sku_channel::1008094|TAIUN_AIR,1008094,교체형,lumpy,1010879.0,sba,{'alpha': 0.3},0.0963238857400718,0.4601614636632008,1.3005191993386125,10,6,,25229.123497128177,0.04462649077581593,0.0,0.0,1.0,6307.280874282044,6307.280874282044,6307.280874282044,6307.280874282044,,TAIUN_AIR
sku_channel,sku_channel::1008434|TAIUN_AIR,1008434,교체형,intermittent,982956.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.17127528521581775,0.23459022428611934,1.9752247643865954,10,6,,44161.077390511215,0.2036566999286283,0.0,0.0,1.0,11040.269347627804,11040.269347627804,11040.269347627804,11040.269347627804,,TAIUN_AIR
