grain,series_id,item_code,label,sb_class,total_qty_hist,model,model_params,rmsse,mase,smape,n_trials,n_backtest_folds,acc_change_vs_prev,large_threshold,p_large_week,p_large_4w,expected_large_size,bulk_share,last_large_week,customer,channel
sku_customer,sku_customer::1009131|Patriot Memory Inc.,1009131,교체형,intermittent,242616.0,tsb,"{'alpha': 0.2, 'beta': 0.05}",0.6595551392177934,2.593099726100393,1.5209683917955414,10,6,,0.0,0.15946584182247153,0.5008610407822652,30327.0,1.0,2026-05-25,Patriot Memory Inc.,
sku_customer,sku_customer::1009201|TEC LOGISTICS COMPANY,1009201,교체형,intermittent,242509.0,sba,{'alpha': 0.3},0.07416074886535688,0.38498124840660397,2.0,10,6,,0.0,0.01718081077141695,0.06697236014638042,60627.25,1.0,2026-03-23,TEC LOGISTICS COMPANY,
sku_customer,sku_customer::2018695|BANG TAI INTERNATIONAL LOGISTICS CO,2018695,교체형,intermittent,235200.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",1.2410472901336633,4.650083702837434,0.7903007989396834,10,6,,0.0,0.36267624515112296,0.8350165334152084,26133.333333333332,1.0,2026-05-25,BANG TAI INTERNATIONAL LOGISTICS CO,
sku_customer,sku_customer::2018035|EACHAIN HONGKONG LIMITED,2018035,교체형,intermittent,231313.0,sba,{'alpha': 0.05},0.03862312911257983,0.23810689735458124,2.0,10,6,,0.0,0.028511710897766402,0.1092613874990701,115656.5,1.0,2026-03-30,EACHAIN HONGKONG LIMITED,
sku_customer,sku_customer::1008551|BANG TAI INTERNATIONAL LOGISTICS CO,1008551,교체형,intermittent,230154.0,sba,{'alpha': 0.05},0.03512508595080062,0.16645894617739102,2.0,10,6,,0.0,0.009323783085689949,0.03677676937441887,57538.5,1.0,2026-03-02,BANG TAI INTERNATIONAL LOGISTICS CO,
sku_customer,sku_customer::1009974|BANG TAI INTERNATIONAL LOGISTICS CO,1009974,교체형,lumpy,230064.0,sba,{'alpha': 0.3},0.053082766956301035,0.40869765211050924,2.0,10,6,,0.0,0.03783866187776001,0.14297871575163346,115032.0,1.0,2026-04-06,BANG TAI INTERNATIONAL LOGISTICS CO,
sku_customer,"sku_customer::1008053|G.SKILL INTERNATIONAL ENT. CO., LTD",1008053,교체형,intermittent,220091.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.00715876758590268,0.043594145845123826,2.0,10,6,,0.0,0.00019807040629891103,0.0007920462649617654,110045.5,1.0,2025-11-03,"G.SKILL INTERNATIONAL ENT. CO., LTD",
sku_customer,sku_customer::1009404|TEC LOGISTICS COMPANY,1009404,교체형,lumpy,219402.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.029819906996651428,0.2010502774450951,2.0,10,6,,0.0,0.0009544977660108905,0.003812528145743288,54850.5,1.0,2025-12-15,TEC LOGISTICS COMPANY,
sku_customer,sku_customer::1008815|GOLDKEY TECHNOLOGY CORPORATION,1008815,교체형,lumpy,216104.0,tsb,"{'alpha': 0.2, 'beta': 0.05}",2.8904968838576153,7.546556106507892,1.9930393749242903,10,6,,0.0,0.20023554400194285,0.5908821811108431,54026.0,1.0,2026-06-08,GOLDKEY TECHNOLOGY CORPORATION,
sku_customer,sku_customer::1009440|YHG SUPPLY CHAIN (HONG KONG),1009440,교체형,intermittent,209975.0,tsb,"{'alpha': 0.1, 'beta': 0.1}",1.9341343272802227,11.62672024927682,1.1860395132751427,10,6,,0.0,0.17354591970189642,0.5334750095205132,69991.66666666667,1.0,2026-05-25,YHG SUPPLY CHAIN (HONG KONG),
sku_customer,sku_customer::1009592|GOLDKEY TECHNOLOGY CORPORATION,1009592,교체형,intermittent,199637.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",16865.133405662615,10437.361087490102,1.542686655077049,10,6,,0.0,0.3548288,0.8267393696228946,66545.66666666667,1.0,2026-06-08,GOLDKEY TECHNOLOGY CORPORATION,
sku_customer,sku_customer::1008551|PATRIOT MEMORY INC.,1008551,교체형,lumpy,194101.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.00017399898678307186,0.0013150647050481845,2.0,10,6,,0.0,2.8046061553524622e-05,0.00011217952681275012,64700.333333333336,1.0,2025-09-01,PATRIOT MEMORY INC.,
sku_customer,sku_customer::2017773|PINE INFO CO LTD,2017773,교체형,lumpy,177378.0,sba,{'alpha': 0.05},0.102599743859424,0.21452405301632727,2.0,10,6,,0.0,0.0,0.0,0.0,0.0,,PINE INFO CO LTD,
